Type,Year,Change
exact,1880,-0.17
exact,1881,-0.09
exact,1882,-0.11
exact,1883,-0.18
exact,1884,-0.29
exact,1885,-0.34
exact,1886,-0.32
exact,1887,-0.37
exact,1888,-0.18
exact,1889,-0.11
exact,1890,-0.36
exact,1891,-0.23
exact,1892,-0.28
exact,1893,-0.32
exact,1894,-0.32
exact,1895,-0.24
exact,1896,-0.11
exact,1897,-0.11
exact,1898,-0.28
exact,1899,-0.18
exact,1900,-0.08
exact,1901,-0.16
exact,1902,-0.28
exact,1903,-0.37
exact,1904,-0.48
exact,1905,-0.26
exact,1906,-0.23
exact,1907,-0.39
exact,1908,-0.43
exact,1909,-0.49
exact,1910,-0.44
exact,1911,-0.44
exact,1912,-0.36
exact,1913,-0.34
exact,1914,-0.15
exact,1915,-0.14
exact,1916,-0.36
exact,1917,-0.46
exact,1918,-0.3
exact,1919,-0.28
exact,1920,-0.27
exact,1921,-0.19
exact,1922,-0.28
exact,1923,-0.26
exact,1924,-0.27
exact,1925,-0.22
exact,1926,-0.11
exact,1927,-0.22
exact,1928,-0.2
exact,1929,-0.36
exact,1930,-0.16
exact,1931,-0.09
exact,1932,-0.16
exact,1933,-0.28
exact,1934,-0.12
exact,1935,-0.2
exact,1936,-0.14
exact,1937,-0.03
exact,1938,0
exact,1939,-0.02
exact,1940,0.13
exact,1941,0.19
exact,1942,0.07
exact,1943,0.09
exact,1944,0.21
exact,1945,0.09
exact,1946,-0.07
exact,1947,-0.02
exact,1948,-0.1
exact,1949,-0.11
exact,1950,-0.17
exact,1951,-0.07
exact,1952,0.01
exact,1953,0.08
exact,1954,-0.13
exact,1955,-0.14
exact,1956,-0.19
exact,1957,0.05
exact,1958,0.06
exact,1959,0.03
exact,1960,-0.02
exact,1961,0.06
exact,1962,0.03
exact,1963,0.05
exact,1964,-0.2
exact,1965,-0.11
exact,1966,-0.06
exact,1967,-0.02
exact,1968,-0.08
exact,1969,0.05
exact,1970,0.03
exact,1971,-0.08
exact,1972,0.01
exact,1973,0.16
exact,1974,-0.07
exact,1975,-0.01
exact,1976,-0.1
exact,1977,0.18
exact,1978,0.07
exact,1979,0.16
exact,1980,0.26
exact,1981,0.32
exact,1982,0.14
exact,1983,0.31
exact,1984,0.15
exact,1985,0.12
exact,1986,0.18
exact,1987,0.32
exact,1988,0.39
exact,1989,0.27
exact,1990,0.45
exact,1991,0.4
exact,1992,0.22
exact,1993,0.23
exact,1994,0.31
exact,1995,0.44
exact,1996,0.33
exact,1997,0.46
exact,1998,0.6
exact,1999,0.38
exact,2000,0.39
exact,2001,0.53
exact,2002,0.62
exact,2003,0.61
exact,2004,0.53
exact,2005,0.67
exact,2006,0.63
exact,2007,0.66
exact,2008,0.54
exact,2009,0.65
exact,2010,0.72
exact,2011,0.61
exact,2012,0.65
exact,2013,0.67
exact,2014,0.74
exact,2015,0.89
exact,2016,1.01
exact,2017,0.92
exact,2018,0.85
exact,2019,0.97
exact,2020,1.01
exact,2021,0.84
exact,2022,0.89
Lowess,1880,-0.1
Lowess,1881,-0.13
Lowess,1882,-0.17
Lowess,1883,-0.21
Lowess,1884,-0.24
Lowess,1885,-0.27
Lowess,1886,-0.28
Lowess,1887,-0.28
Lowess,1888,-0.27
Lowess,1889,-0.26
Lowess,1890,-0.26
Lowess,1891,-0.26
Lowess,1892,-0.27
Lowess,1893,-0.27
Lowess,1894,-0.25
Lowess,1895,-0.23
Lowess,1896,-0.21
Lowess,1897,-0.19
Lowess,1898,-0.17
Lowess,1899,-0.18
Lowess,1900,-0.2
Lowess,1901,-0.24
Lowess,1902,-0.26
Lowess,1903,-0.28
Lowess,1904,-0.31
Lowess,1905,-0.34
Lowess,1906,-0.36
Lowess,1907,-0.38
Lowess,1908,-0.39
Lowess,1909,-0.41
Lowess,1910,-0.41
Lowess,1911,-0.39
Lowess,1912,-0.35
Lowess,1913,-0.32
Lowess,1914,-0.31
Lowess,1915,-0.3
Lowess,1916,-0.3
Lowess,1917,-0.3
Lowess,1918,-0.3
Lowess,1919,-0.29
Lowess,1920,-0.28
Lowess,1921,-0.26
Lowess,1922,-0.25
Lowess,1923,-0.24
Lowess,1924,-0.23
Lowess,1925,-0.22
Lowess,1926,-0.22
Lowess,1927,-0.21
Lowess,1928,-0.2
Lowess,1929,-0.19
Lowess,1930,-0.19
Lowess,1931,-0.19
Lowess,1932,-0.18
Lowess,1933,-0.17
Lowess,1934,-0.15
Lowess,1935,-0.14
Lowess,1936,-0.1
Lowess,1937,-0.06
Lowess,1938,-0.01
Lowess,1939,0.03
Lowess,1940,0.07
Lowess,1941,0.09
Lowess,1942,0.11
Lowess,1943,0.1
Lowess,1944,0.08
Lowess,1945,0.04
Lowess,1946,0.01
Lowess,1947,-0.03
Lowess,1948,-0.07
Lowess,1949,-0.08
Lowess,1950,-0.07
Lowess,1951,-0.07
Lowess,1952,-0.07
Lowess,1953,-0.07
Lowess,1954,-0.06
Lowess,1955,-0.05
Lowess,1956,-0.05
Lowess,1957,-0.04
Lowess,1958,-0.01
Lowess,1959,0.01
Lowess,1960,0.03
Lowess,1961,0.01
Lowess,1962,-0.01
Lowess,1963,-0.03
Lowess,1964,-0.04
Lowess,1965,-0.05
Lowess,1966,-0.06
Lowess,1967,-0.05
Lowess,1968,-0.03
Lowess,1969,-0.02
Lowess,1970,0
Lowess,1971,0
Lowess,1972,0
Lowess,1973,0
Lowess,1974,0.01
Lowess,1975,0.02
Lowess,1976,0.04
Lowess,1977,0.07
Lowess,1978,0.12
Lowess,1979,0.16
Lowess,1980,0.2
Lowess,1981,0.21
Lowess,1982,0.21
Lowess,1983,0.21
Lowess,1984,0.21
Lowess,1985,0.22
Lowess,1986,0.24
Lowess,1987,0.27
Lowess,1988,0.31
Lowess,1989,0.33
Lowess,1990,0.33
Lowess,1991,0.33
Lowess,1992,0.33
Lowess,1993,0.33
Lowess,1994,0.34
Lowess,1995,0.36
Lowess,1996,0.4
Lowess,1997,0.42
Lowess,1998,0.44
Lowess,1999,0.47
Lowess,2000,0.5
Lowess,2001,0.52
Lowess,2002,0.54
Lowess,2003,0.58
Lowess,2004,0.6
Lowess,2005,0.61
Lowess,2006,0.62
Lowess,2007,0.63
Lowess,2008,0.64
Lowess,2009,0.64
Lowess,2010,0.64
Lowess,2011,0.66
Lowess,2012,0.69
Lowess,2013,0.74
Lowess,2014,0.78
Lowess,2015,0.83
Lowess,2016,0.87
Lowess,2017,0.91
Lowess,2018,0.93
Lowess,2019,0.92
Lowess,2020,0.91
Lowess,2021,0.91
Lowess,2022,0.9